1/T [1/K]	Δ1/T [1/K]	ln(R1) []	Δln(R1) []
0.003413	0.0000059	7.138	0.011
0.0033501	0.0000057	6.844	0.011
0.0032949	0.0000055	6.652	0.011
0.0032415	0.0000053	6.455	0.011
0.0031898	0.0000051	6.276	0.011
0.0031397	0.0000050	6.084	0.011
0.0030960	0.0000048	5.934	0.011
0.0030488	0.0000047	5.742	0.011
0.0030012	0.0000046	5.571	0.011
0.0029577	0.0000044	5.398	0.011
0.0029155	0.0000043	5.228	0.011
0.0028727	0.0000042	5.073	0.011
0.0028321	0.0000041	4.907	0.011
0.0027933	0.0000040	4.766	0.011
0.0027541	0.0000038	4.606	0.011
0.0027167	0.0000037	4.466	0.010
