1/T [1/K]	Δ1/T [1/K]	ln(R3) []	Δln(R3) []
0.003413	0.0000059	4.655	0.011
0.0033501	0.0000057	4.761	0.011
0.0032949	0.0000055	4.88	0.011
0.0032415	0.0000053	5.064	0.011
0.0031898	0.0000051	5.305	0.011
0.0031397	0.0000050	5.671	0.011
0.0030960	0.0000048	6.094	0.011
0.0030488	0.0000047	6.848	0.011
0.0030012	0.0000046	8.357	0.011
0.0029577	0.0000044	10.25	0.011
0.0029155	0.0000043	11.951	0.011
0.0028727	0.0000042	13.181	0.010
0.0028321	0.0000041	14.078	0.010
0.0027933	0.0000040	14.286	0.010
0.0027541	0.0000038	14.403	0.010
0.0027167	0.0000037	14.447	0.011
