N [skt]	ΔN [skt]	I' [skt]	ΔI' [skt]	U' [skt]	ΔU' [skt]	R [Ω]	ΔR [Ω]	I [mA]	ΔI [mA]	U [V]	ΔU [V]
50.0	2.5	12.5	0.25	8.2	0.25	95	0.25	12.50	0.25	0.82	0.025
100.0	2.5	12.5	0.25	8.9	0.25	90	0.25	12.50	0.25	0.89	0.025
150.0	2.5	13.0	0.25	9.0	0.25	85	0.25	13.00	0.25	0.90	0.025
200.0	2.5	13.2	0.25	9.2	0.25	80	0.25	13.20	0.25	0.92	0.025
250.0	2.5	14.0	0.25	9.5	0.25	75	0.25	14.00	0.25	0.95	0.025
300.0	2.5	14.5	0.25	10.0	0.25	70	0.25	14.50	0.25	1.00	0.025
350.0	2.5	15.0	0.25	10.2	0.25	65	0.25	15.00	0.25	1.02	0.025
400.0	2.5	15.5	0.25	10.5	0.25	60	0.25	15.50	0.25	1.05	0.025
450.0	2.5	16.0	0.25	11.0	0.25	55	0.25	16.00	0.25	1.10	0.025
500.0	2.5	16.5	0.25	11.5	0.25	50	0.25	16.50	0.25	1.15	0.025
